#    L    TT             EE             TE             PP             TP          
   193   0.536416E+04   0.655219E+00  -0.219237E+02   0.243893E+07   0.260153E+04
   194   0.537972E+04   0.650146E+00  -0.208419E+02   0.242580E+07   0.258002E+04
   195   0.539473E+04   0.645676E+00  -0.197368E+02   0.241279E+07   0.255872E+04
   196   0.540921E+04   0.641842E+00  -0.186089E+02   0.239988E+07   0.253763E+04
   197   0.542314E+04   0.638681E+00  -0.174584E+02   0.238708E+07   0.251672E+04
   198   0.543653E+04   0.636227E+00  -0.162858E+02   0.237439E+07   0.249599E+04
   199   0.544936E+04   0.634515E+00  -0.150913E+02   0.236179E+07   0.247544E+04
   200   0.546165E+04   0.633579E+00  -0.138755E+02   0.234931E+07   0.245505E+04
   201   0.547337E+04   0.633455E+00  -0.126385E+02   0.233692E+07   0.243482E+04
   202   0.548453E+04   0.634178E+00  -0.113810E+02   0.232463E+07   0.241475E+04
   203   0.549510E+04   0.635784E+00  -0.101031E+02   0.231245E+07   0.239483E+04
   204   0.550509E+04   0.638307E+00  -0.880536E+01   0.230036E+07   0.237507E+04
   205   0.551446E+04   0.641783E+00  -0.748820E+01   0.228837E+07   0.235545E+04
   206   0.552323E+04   0.646246E+00  -0.615195E+01   0.227648E+07   0.233599E+04
   207   0.553139E+04   0.651732E+00  -0.479696E+01   0.226469E+07   0.231668E+04
   208   0.553891E+04   0.658277E+00  -0.342383E+01   0.225299E+07   0.229751E+04
   209   0.554584E+04   0.665915E+00  -0.203305E+01   0.224138E+07   0.227850E+04
   210   0.555215E+04   0.674682E+00  -0.625168E+00   0.222987E+07   0.225963E+04
   211   0.555787E+04   0.684613E+00   0.799300E+00   0.221846E+07   0.224091E+04
   212   0.556299E+04   0.695742E+00   0.223981E+01   0.220713E+07   0.222234E+04
   213   0.556752E+04   0.708106E+00   0.369584E+01   0.219590E+07   0.220391E+04
   214   0.557147E+04   0.721740E+00   0.516685E+01   0.218475E+07   0.218563E+04
   215   0.557484E+04   0.736673E+00   0.665228E+01   0.217370E+07   0.216748E+04
   216   0.557761E+04   0.752947E+00   0.815155E+01   0.216274E+07   0.214948E+04
   217   0.557979E+04   0.770592E+00   0.966408E+01   0.215186E+07   0.213163E+04
   218   0.558136E+04   0.789635E+00   0.111894E+02   0.214107E+07   0.211391E+04
   219   0.558234E+04   0.810120E+00   0.127268E+02   0.213037E+07   0.209633E+04
   220   0.558270E+04   0.832075E+00   0.142758E+02   0.211975E+07   0.207888E+04
   221   0.558246E+04   0.855528E+00   0.158357E+02   0.210922E+07   0.206158E+04
   222   0.558159E+04   0.880523E+00   0.174061E+02   0.209877E+07   0.204441E+04
   223   0.558012E+04   0.907079E+00   0.189862E+02   0.208841E+07   0.202738E+04
   224   0.557804E+04   0.935233E+00   0.205755E+02   0.207812E+07   0.201048E+04
   225   0.557536E+04   0.965005E+00   0.221731E+02   0.206792E+07   0.199372E+04
   226   0.557206E+04   0.996439E+00   0.237787E+02   0.205780E+07   0.197708E+04
   227   0.556816E+04   0.102956E+01   0.253914E+02   0.204776E+07   0.196058E+04
   228   0.556366E+04   0.106440E+01   0.270106E+02   0.203779E+07   0.194421E+04
   229   0.555855E+04   0.110098E+01   0.286358E+02   0.202791E+07   0.192797E+04
   230   0.555285E+04   0.113933E+01   0.302661E+02   0.201810E+07   0.191186E+04
   231   0.554655E+04   0.117947E+01   0.319010E+02   0.200837E+07   0.189588E+04
   232   0.553965E+04   0.122144E+01   0.335398E+02   0.199871E+07   0.188002E+04
   233   0.553216E+04   0.126526E+01   0.351817E+02   0.198913E+07   0.186429E+04
   234   0.552407E+04   0.131095E+01   0.368261E+02   0.197962E+07   0.184869E+04
   235   0.551541E+04   0.135854E+01   0.384723E+02   0.197019E+07   0.183320E+04
   236   0.550614E+04   0.140806E+01   0.401196E+02   0.196083E+07   0.181785E+04
   237   0.549630E+04   0.145951E+01   0.417672E+02   0.195153E+07   0.180261E+04
   238   0.548587E+04   0.151293E+01   0.434146E+02   0.194231E+07   0.178749E+04
   239   0.547487E+04   0.156832E+01   0.450609E+02   0.193316E+07   0.177250E+04
