#    L    TT             EE             TE             PP             TP          
   115   0.311426E+04   0.918228E+00  -0.318442E+02   0.389712E+07   0.547360E+04
   116   0.314731E+04   0.928408E+00  -0.324256E+02   0.387196E+07   0.541224E+04
   117   0.318048E+04   0.938239E+00  -0.329991E+02   0.384698E+07   0.535179E+04
   118   0.321373E+04   0.947724E+00  -0.335642E+02   0.382219E+07   0.529224E+04
   119   0.324708E+04   0.956846E+00  -0.341203E+02   0.379758E+07   0.523359E+04
   120   0.328051E+04   0.965599E+00  -0.346670E+02   0.377315E+07   0.517583E+04
   121   0.331402E+04   0.973969E+00  -0.352037E+02   0.374891E+07   0.511898E+04
   122   0.334759E+04   0.981948E+00  -0.357298E+02   0.372485E+07   0.506302E+04
   123   0.338122E+04   0.989531E+00  -0.362450E+02   0.370097E+07   0.500796E+04
   124   0.341491E+04   0.996702E+00  -0.367485E+02   0.367728E+07   0.495380E+04
   125   0.344863E+04   0.100346E+01  -0.372400E+02   0.365377E+07   0.490053E+04
   126   0.348240E+04   0.100980E+01  -0.377190E+02   0.363045E+07   0.484816E+04
   127   0.351618E+04   0.101571E+01  -0.381848E+02   0.360731E+07   0.479669E+04
   128   0.354998E+04   0.102118E+01  -0.386371E+02   0.358435E+07   0.474611E+04
   129   0.358379E+04   0.102621E+01  -0.390754E+02   0.356158E+07   0.469642E+04
   130   0.361760E+04   0.103079E+01  -0.394990E+02   0.353899E+07   0.464762E+04
   131   0.365139E+04   0.103492E+01  -0.399076E+02   0.351659E+07   0.459971E+04
   132   0.368517E+04   0.103859E+01  -0.403007E+02   0.349437E+07   0.455267E+04
   133   0.371893E+04   0.104180E+01  -0.406778E+02   0.347233E+07   0.450646E+04
   134   0.375265E+04   0.104456E+01  -0.410384E+02   0.345047E+07   0.446107E+04
   135   0.378634E+04   0.104685E+01  -0.413822E+02   0.342879E+07   0.441646E+04
   136   0.381998E+04   0.104867E+01  -0.417085E+02   0.340728E+07   0.437260E+04
   137   0.385356E+04   0.105002E+01  -0.420170E+02   0.338596E+07   0.432947E+04
   138   0.388709E+04   0.105090E+01  -0.423072E+02   0.336481E+07   0.428704E+04
   139   0.392054E+04   0.105132E+01  -0.425788E+02   0.334383E+07   0.424528E+04
   140   0.395392E+04   0.105126E+01  -0.428314E+02   0.332303E+07   0.420417E+04
   141   0.398722E+04   0.105075E+01  -0.430646E+02   0.330240E+07   0.416368E+04
   142   0.402042E+04   0.104977E+01  -0.432779E+02   0.328194E+07   0.412378E+04
   143   0.405353E+04   0.104833E+01  -0.434710E+02   0.326165E+07   0.408444E+04
