#    L    TT             EE             BB             TE          
  7876   0.738002E-01   0.927247E-03   0.652477E-03  -0.117156E-02
  7877   0.738423E-01   0.926823E-03   0.652243E-03  -0.117060E-02
  7878   0.738916E-01   0.926402E-03   0.652008E-03  -0.116961E-02
  7879   0.739477E-01   0.925982E-03   0.651772E-03  -0.116859E-02
  7880   0.740095E-01   0.925564E-03   0.651536E-03  -0.116755E-02
  7881   0.740764E-01   0.925147E-03   0.651300E-03  -0.116648E-02
  7882   0.741473E-01   0.924732E-03   0.651063E-03  -0.116540E-02
  7883   0.742213E-01   0.924317E-03   0.650826E-03  -0.116430E-02
  7884   0.742974E-01   0.923904E-03   0.650588E-03  -0.116320E-02
  7885   0.743746E-01   0.923490E-03   0.650351E-03  -0.116209E-02
  7886   0.744519E-01   0.923077E-03   0.650114E-03  -0.116098E-02
  7887   0.745282E-01   0.922664E-03   0.649877E-03  -0.115988E-02
  7888   0.746025E-01   0.922250E-03   0.649640E-03  -0.115879E-02
  7889   0.746738E-01   0.921835E-03   0.649405E-03  -0.115772E-02
  7890   0.747412E-01   0.921420E-03   0.649169E-03  -0.115666E-02
  7891   0.748036E-01   0.921003E-03   0.648935E-03  -0.115563E-02
  7892   0.748602E-01   0.920586E-03   0.648701E-03  -0.115463E-02
  7893   0.749102E-01   0.920166E-03   0.648469E-03  -0.115365E-02
  7894   0.749527E-01   0.919745E-03   0.648237E-03  -0.115272E-02
  7895   0.749871E-01   0.919322E-03   0.648007E-03  -0.115182E-02
  7896   0.750126E-01   0.918896E-03   0.647778E-03  -0.115096E-02
  7897   0.750289E-01   0.918469E-03   0.647550E-03  -0.115015E-02
  7898   0.750354E-01   0.918039E-03   0.647324E-03  -0.114938E-02
  7899   0.750317E-01   0.917607E-03   0.647099E-03  -0.114866E-02
  7900   0.750176E-01   0.917172E-03   0.646876E-03  -0.114799E-02
  7901   0.749929E-01   0.916735E-03   0.646654E-03  -0.114737E-02
  7902   0.749576E-01   0.916295E-03   0.646434E-03  -0.114679E-02
  7903   0.749118E-01   0.915853E-03   0.646215E-03  -0.114627E-02
  7904   0.748554E-01   0.915409E-03   0.645997E-03  -0.114579E-02
  7905   0.747889E-01   0.914962E-03   0.645781E-03  -0.114537E-02
  7906   0.747126E-01   0.914512E-03   0.645567E-03  -0.114498E-02
  7907   0.746269E-01   0.914061E-03   0.645353E-03  -0.114464E-02
  7908   0.745323E-01   0.913607E-03   0.645141E-03  -0.114434E-02
  7909   0.744295E-01   0.913152E-03   0.644930E-03  -0.114408E-02
  7910   0.743193E-01   0.912695E-03   0.644720E-03  -0.114385E-02
  7911   0.742023E-01   0.912237E-03   0.644511E-03  -0.114365E-02
  7912   0.740794E-01   0.911778E-03   0.644302E-03  -0.114348E-02
  7913   0.739517E-01   0.911317E-03   0.644095E-03  -0.114333E-02
  7914   0.738199E-01   0.910856E-03   0.643888E-03  -0.114320E-02
  7915   0.736852E-01   0.910394E-03   0.643681E-03  -0.114308E-02
  7916   0.735486E-01   0.909933E-03   0.643475E-03  -0.114297E-02
  7917   0.734111E-01   0.909471E-03   0.643269E-03  -0.114286E-02
  7918   0.732738E-01   0.909010E-03   0.643062E-03  -0.114275E-02
  7919   0.731379E-01   0.908549E-03   0.642856E-03  -0.114264E-02
  7920   0.730043E-01   0.908089E-03   0.642650E-03  -0.114251E-02
  7921   0.728741E-01   0.907630E-03   0.642443E-03  -0.114236E-02
  7922   0.727483E-01   0.907173E-03   0.642235E-03  -0.114219E-02
  7923   0.726280E-01   0.906718E-03   0.642027E-03  -0.114200E-02
  7924   0.725140E-01   0.906264E-03   0.641818E-03  -0.114178E-02
  7925   0.724071E-01   0.905812E-03   0.641609E-03  -0.114152E-02
  7926   0.723083E-01   0.905363E-03   0.641398E-03  -0.114123E-02
  7927   0.722183E-01   0.904916E-03   0.641186E-03  -0.114089E-02
  7928   0.721376E-01   0.904472E-03   0.640973E-03  -0.114052E-02
  7929   0.720668E-01   0.904031E-03   0.640759E-03  -0.114009E-02
  7930   0.720065E-01   0.903592E-03   0.640544E-03  -0.113962E-02
  7931   0.719569E-01   0.903157E-03   0.640327E-03  -0.113909E-02
  7932   0.719183E-01   0.902724E-03   0.640109E-03  -0.113852E-02
  7933   0.718909E-01   0.902295E-03   0.639889E-03  -0.113789E-02
  7934   0.718748E-01   0.901868E-03   0.639669E-03  -0.113722E-02
  7935   0.718697E-01   0.901445E-03   0.639447E-03  -0.113649E-02
  7936   0.718757E-01   0.901025E-03   0.639223E-03  -0.113571E-02
  7937   0.718924E-01   0.900607E-03   0.638998E-03  -0.113488E-02
  7938   0.719194E-01   0.900192E-03   0.638773E-03  -0.113400E-02
  7939   0.719562E-01   0.899780E-03   0.638545E-03  -0.113308E-02
  7940   0.720023E-01   0.899371E-03   0.638317E-03  -0.113212E-02
  7941   0.720570E-01   0.898963E-03   0.638088E-03  -0.113112E-02
  7942   0.721195E-01   0.898558E-03   0.637858E-03  -0.113008E-02
  7943   0.721890E-01   0.898155E-03   0.637627E-03  -0.112901E-02
  7944   0.722646E-01   0.897753E-03   0.637396E-03  -0.112792E-02
  7945   0.723454E-01   0.897353E-03   0.637164E-03  -0.112680E-02
  7946   0.724302E-01   0.896954E-03   0.636932E-03  -0.112566E-02
  7947   0.725181E-01   0.896556E-03   0.636699E-03  -0.112451E-02
  7948   0.726079E-01   0.896158E-03   0.636467E-03  -0.112336E-02
  7949   0.726986E-01   0.895761E-03   0.636234E-03  -0.112220E-02
  7950   0.727890E-01   0.895364E-03   0.636002E-03  -0.112104E-02
  7951   0.728780E-01   0.894966E-03   0.635770E-03  -0.111990E-02
  7952   0.729644E-01   0.894568E-03   0.635538E-03  -0.111876E-02
  7953   0.730473E-01   0.894170E-03   0.635308E-03  -0.111765E-02
  7954   0.731254E-01   0.893770E-03   0.635077E-03  -0.111655E-02
  7955   0.731978E-01   0.893369E-03   0.634848E-03  -0.111549E-02
  7956   0.732635E-01   0.892966E-03   0.634620E-03  -0.111445E-02
  7957   0.733217E-01   0.892562E-03   0.634393E-03  -0.111346E-02
  7958   0.733713E-01   0.892156E-03   0.634167E-03  -0.111250E-02
  7959   0.734119E-01   0.891747E-03   0.633943E-03  -0.111159E-02
  7960   0.734425E-01   0.891337E-03   0.633720E-03  -0.111072E-02
  7961   0.734627E-01   0.890924E-03   0.633499E-03  -0.110991E-02
  7962   0.734720E-01   0.890508E-03   0.633279E-03  -0.110914E-02
  7963   0.734699E-01   0.890090E-03   0.633060E-03  -0.110843E-02
  7964   0.734563E-01   0.889669E-03   0.632844E-03  -0.110777E-02
  7965   0.734310E-01   0.889245E-03   0.632629E-03  -0.110717E-02
  7966   0.733939E-01   0.888819E-03   0.632416E-03  -0.110662E-02
  7967   0.733451E-01   0.888390E-03   0.632204E-03  -0.110613E-02
  7968   0.732848E-01   0.887958E-03   0.631994E-03  -0.110569E-02
  7969   0.732132E-01   0.887524E-03   0.631785E-03  -0.110531E-02
  7970   0.731308E-01   0.887088E-03   0.631578E-03  -0.110497E-02
  7971   0.730381E-01   0.886649E-03   0.631373E-03  -0.110468E-02
  7972   0.729356E-01   0.886208E-03   0.631168E-03  -0.110444E-02
  7973   0.728241E-01   0.885765E-03   0.630965E-03  -0.110424E-02
  7974   0.727044E-01   0.885320E-03   0.630764E-03  -0.110407E-02
  7975   0.725774E-01   0.884874E-03   0.630563E-03  -0.110394E-02
  7976   0.724439E-01   0.884427E-03   0.630363E-03  -0.110384E-02
  7977   0.723050E-01   0.883978E-03   0.630164E-03  -0.110377E-02
  7978   0.721617E-01   0.883529E-03   0.629965E-03  -0.110371E-02
  7979   0.720153E-01   0.883079E-03   0.629767E-03  -0.110367E-02
  7980   0.718667E-01   0.882629E-03   0.629569E-03  -0.110364E-02
  7981   0.717173E-01   0.882180E-03   0.629372E-03  -0.110361E-02
  7982   0.715681E-01   0.881730E-03   0.629174E-03  -0.110358E-02
  7983   0.714203E-01   0.881281E-03   0.628976E-03  -0.110354E-02
  7984   0.712751E-01   0.880834E-03   0.628778E-03  -0.110349E-02
  7985   0.711337E-01   0.880387E-03   0.628580E-03  -0.110342E-02
  7986   0.709972E-01   0.879942E-03   0.628381E-03  -0.110332E-02
  7987   0.708666E-01   0.879499E-03   0.628181E-03  -0.110320E-02
  7988   0.707430E-01   0.879058E-03   0.627980E-03  -0.110305E-02
  7989   0.706273E-01   0.878619E-03   0.627779E-03  -0.110285E-02
  7990   0.705204E-01   0.878183E-03   0.627576E-03  -0.110262E-02
  7991   0.704231E-01   0.877749E-03   0.627372E-03  -0.110234E-02
  7992   0.703361E-01   0.877318E-03   0.627167E-03  -0.110202E-02
  7993   0.702601E-01   0.876890E-03   0.626960E-03  -0.110164E-02
  7994   0.701955E-01   0.876465E-03   0.626752E-03  -0.110121E-02
  7995   0.701427E-01   0.876043E-03   0.626542E-03  -0.110072E-02
  7996   0.701021E-01   0.875625E-03   0.626331E-03  -0.110017E-02
  7997   0.700738E-01   0.875210E-03   0.626119E-03  -0.109957E-02
  7998   0.700578E-01   0.874798E-03   0.625905E-03  -0.109892E-02
  7999   0.700542E-01   0.874389E-03   0.625689E-03  -0.109820E-02
  8000   0.700628E-01   0.873983E-03   0.625472E-03  -0.109743E-02
  8001   0.700831E-01   0.873581E-03   0.625253E-03  -0.109660E-02
  8002   0.701150E-01   0.873181E-03   0.625033E-03  -0.109572E-02
  8003   0.701578E-01   0.872784E-03   0.624812E-03  -0.109479E-02
  8004   0.702109E-01   0.872390E-03   0.624589E-03  -0.109382E-02
  8005   0.702736E-01   0.871999E-03   0.624365E-03  -0.109279E-02
  8006   0.703450E-01   0.871609E-03   0.624141E-03  -0.109173E-02
  8007   0.704244E-01   0.871222E-03   0.623915E-03  -0.109064E-02
  8008   0.705107E-01   0.870837E-03   0.623688E-03  -0.108951E-02
  8009   0.706028E-01   0.870453E-03   0.623461E-03  -0.108835E-02
  8010   0.706997E-01   0.870070E-03   0.623234E-03  -0.108718E-02
  8011   0.708002E-01   0.869688E-03   0.623006E-03  -0.108599E-02
  8012   0.709032E-01   0.869307E-03   0.622778E-03  -0.108479E-02
  8013   0.710073E-01   0.868926E-03   0.622550E-03  -0.108358E-02
  8014   0.711115E-01   0.868546E-03   0.622322E-03  -0.108237E-02
  8015   0.712144E-01   0.868165E-03   0.622094E-03  -0.108118E-02
  8016   0.713148E-01   0.867784E-03   0.621867E-03  -0.107999E-02
  8017   0.714116E-01   0.867401E-03   0.621641E-03  -0.107883E-02
  8018   0.715036E-01   0.867018E-03   0.621415E-03  -0.107768E-02
  8019   0.715896E-01   0.866634E-03   0.621190E-03  -0.107657E-02
  8020   0.716685E-01   0.866247E-03   0.620967E-03  -0.107549E-02
  8021   0.717394E-01   0.865859E-03   0.620744E-03  -0.107445E-02
  8022   0.718014E-01   0.865469E-03   0.620523E-03  -0.107345E-02
  8023   0.718535E-01   0.865077E-03   0.620304E-03  -0.107250E-02
  8024   0.718950E-01   0.864682E-03   0.620085E-03  -0.107160E-02
  8025   0.719253E-01   0.864285E-03   0.619869E-03  -0.107075E-02
  8026   0.719439E-01   0.863885E-03   0.619654E-03  -0.106996E-02
  8027   0.719501E-01   0.863482E-03   0.619441E-03  -0.106922E-02
  8028   0.719439E-01   0.863076E-03   0.619230E-03  -0.106855E-02
  8029   0.719248E-01   0.862667E-03   0.619020E-03  -0.106793E-02
  8030   0.718929E-01   0.862256E-03   0.618813E-03  -0.106738E-02
  8031   0.718481E-01   0.861841E-03   0.618607E-03  -0.106688E-02
  8032   0.717907E-01   0.861424E-03   0.618403E-03  -0.106645E-02
  8033   0.717209E-01   0.861004E-03   0.618201E-03  -0.106607E-02
  8034   0.716390E-01   0.860581E-03   0.618000E-03  -0.106575E-02
  8035   0.715457E-01   0.860156E-03   0.617801E-03  -0.106549E-02
  8036   0.714415E-01   0.859729E-03   0.617604E-03  -0.106527E-02
  8037   0.713272E-01   0.859299E-03   0.617408E-03  -0.106510E-02
  8038   0.712035E-01   0.858868E-03   0.617213E-03  -0.106498E-02
  8039   0.710713E-01   0.858434E-03   0.617019E-03  -0.106489E-02
  8040   0.709318E-01   0.858000E-03   0.616827E-03  -0.106484E-02
  8041   0.707859E-01   0.857564E-03   0.616635E-03  -0.106482E-02
  8042   0.706348E-01   0.857127E-03   0.616444E-03  -0.106482E-02
  8043   0.704796E-01   0.856690E-03   0.616254E-03  -0.106484E-02
  8044   0.703215E-01   0.856253E-03   0.616064E-03  -0.106488E-02
  8045   0.701619E-01   0.855815E-03   0.615875E-03  -0.106492E-02
  8046   0.700020E-01   0.855378E-03   0.615685E-03  -0.106496E-02
  8047   0.698431E-01   0.854941E-03   0.615496E-03  -0.106500E-02
  8048   0.696863E-01   0.854505E-03   0.615306E-03  -0.106503E-02
  8049   0.695331E-01   0.854071E-03   0.615116E-03  -0.106504E-02
  8050   0.693845E-01   0.853638E-03   0.614925E-03  -0.106502E-02
  8051   0.692418E-01   0.853207E-03   0.614734E-03  -0.106498E-02
  8052   0.691061E-01   0.852778E-03   0.614541E-03  -0.106491E-02
  8053   0.689785E-01   0.852351E-03   0.614348E-03  -0.106480E-02
  8054   0.688599E-01   0.851927E-03   0.614153E-03  -0.106465E-02
  8055   0.687513E-01   0.851505E-03   0.613958E-03  -0.106445E-02
  8056   0.686533E-01   0.851087E-03   0.613760E-03  -0.106420E-02
  8057   0.685669E-01   0.850671E-03   0.613562E-03  -0.106389E-02
  8058   0.684925E-01   0.850259E-03   0.613362E-03  -0.106353E-02
  8059   0.684307E-01   0.849850E-03   0.613160E-03  -0.106311E-02
  8060   0.683818E-01   0.849445E-03   0.612956E-03  -0.106263E-02
  8061   0.683461E-01   0.849043E-03   0.612751E-03  -0.106209E-02
  8062   0.683237E-01   0.848644E-03   0.612545E-03  -0.106149E-02
  8063   0.683146E-01   0.848249E-03   0.612336E-03  -0.106082E-02
  8064   0.683187E-01   0.847857E-03   0.612126E-03  -0.106009E-02
  8065   0.683358E-01   0.847468E-03   0.611914E-03  -0.105931E-02
  8066   0.683654E-01   0.847083E-03   0.611701E-03  -0.105846E-02
  8067   0.684071E-01   0.846700E-03   0.611486E-03  -0.105756E-02
  8068   0.684602E-01   0.846321E-03   0.611270E-03  -0.105661E-02
  8069   0.685242E-01   0.845944E-03   0.611052E-03  -0.105560E-02
  8070   0.685980E-01   0.845569E-03   0.610834E-03  -0.105455E-02
  8071   0.686809E-01   0.845197E-03   0.610614E-03  -0.105346E-02
  8072   0.687719E-01   0.844827E-03   0.610393E-03  -0.105233E-02
  8073   0.688698E-01   0.844459E-03   0.610171E-03  -0.105117E-02
  8074   0.689735E-01   0.844092E-03   0.609949E-03  -0.104998E-02
  8075   0.690819E-01   0.843726E-03   0.609726E-03  -0.104878E-02
  8076   0.691936E-01   0.843361E-03   0.609503E-03  -0.104755E-02
  8077   0.693075E-01   0.842996E-03   0.609280E-03  -0.104632E-02
  8078   0.694221E-01   0.842632E-03   0.609057E-03  -0.104509E-02
  8079   0.695363E-01   0.842268E-03   0.608834E-03  -0.104386E-02
  8080   0.696486E-01   0.841903E-03   0.608611E-03  -0.104263E-02
  8081   0.697578E-01   0.841537E-03   0.608389E-03  -0.104143E-02
  8082   0.698627E-01   0.841171E-03   0.608168E-03  -0.104024E-02
  8083   0.699620E-01   0.840803E-03   0.607947E-03  -0.103908E-02
  8084   0.700546E-01   0.840433E-03   0.607728E-03  -0.103796E-02
  8085   0.701393E-01   0.840062E-03   0.607509E-03  -0.103687E-02
  8086   0.702151E-01   0.839689E-03   0.607293E-03  -0.103583E-02
  8087   0.702810E-01   0.839313E-03   0.607077E-03  -0.103483E-02
  8088   0.703363E-01   0.838935E-03   0.606863E-03  -0.103388E-02
  8089   0.703800E-01   0.838554E-03   0.606651E-03  -0.103298E-02
  8090   0.704116E-01   0.838170E-03   0.606440E-03  -0.103215E-02
  8091   0.704306E-01   0.837784E-03   0.606232E-03  -0.103137E-02
  8092   0.704364E-01   0.837394E-03   0.606025E-03  -0.103066E-02
  8093   0.704289E-01   0.837002E-03   0.605820E-03  -0.103001E-02
  8094   0.704078E-01   0.836606E-03   0.605617E-03  -0.102942E-02
  8095   0.703731E-01   0.836207E-03   0.605416E-03  -0.102890E-02
  8096   0.703248E-01   0.835806E-03   0.605216E-03  -0.102844E-02
  8097   0.702632E-01   0.835401E-03   0.605019E-03  -0.102804E-02
  8098   0.701886E-01   0.834994E-03   0.604824E-03  -0.102770E-02
  8099   0.701015E-01   0.834584E-03   0.604630E-03  -0.102743E-02
  8100   0.700024E-01   0.834171E-03   0.604438E-03  -0.102721E-02
  8101   0.698921E-01   0.833756E-03   0.604247E-03  -0.102704E-02
  8102   0.697713E-01   0.833339E-03   0.604058E-03  -0.102692E-02
  8103   0.696409E-01   0.832920E-03   0.603871E-03  -0.102685E-02
  8104   0.695020E-01   0.832500E-03   0.603684E-03  -0.102681E-02
  8105   0.693555E-01   0.832078E-03   0.603499E-03  -0.102682E-02
  8106   0.692026E-01   0.831655E-03   0.603315E-03  -0.102685E-02
  8107   0.690446E-01   0.831231E-03   0.603131E-03  -0.102691E-02
  8108   0.688826E-01   0.830807E-03   0.602948E-03  -0.102698E-02
  8109   0.687180E-01   0.830382E-03   0.602766E-03  -0.102707E-02
  8110   0.685521E-01   0.829958E-03   0.602583E-03  -0.102716E-02
  8111   0.683862E-01   0.829534E-03   0.602401E-03  -0.102725E-02
  8112   0.682217E-01   0.829111E-03   0.602219E-03  -0.102734E-02
  8113   0.680598E-01   0.828689E-03   0.602036E-03  -0.102742E-02
  8114   0.679018E-01   0.828269E-03   0.601853E-03  -0.102747E-02
  8115   0.677491E-01   0.827850E-03   0.601669E-03  -0.102750E-02
  8116   0.676028E-01   0.827433E-03   0.601485E-03  -0.102751E-02
  8117   0.674641E-01   0.827018E-03   0.601299E-03  -0.102747E-02
  8118   0.673340E-01   0.826606E-03   0.601113E-03  -0.102740E-02
  8119   0.672137E-01   0.826197E-03   0.600925E-03  -0.102728E-02
  8120   0.671038E-01   0.825791E-03   0.600736E-03  -0.102711E-02
  8121   0.670054E-01   0.825387E-03   0.600545E-03  -0.102689E-02
  8122   0.669191E-01   0.824987E-03   0.600353E-03  -0.102661E-02
  8123   0.668454E-01   0.824591E-03   0.600159E-03  -0.102627E-02
  8124   0.667850E-01   0.824197E-03   0.599964E-03  -0.102588E-02
  8125   0.667380E-01   0.823808E-03   0.599767E-03  -0.102541E-02
  8126   0.667048E-01   0.823422E-03   0.599568E-03  -0.102489E-02
  8127   0.666854E-01   0.823039E-03   0.599367E-03  -0.102430E-02
  8128   0.666798E-01   0.822660E-03   0.599165E-03  -0.102364E-02
  8129   0.666878E-01   0.822284E-03   0.598960E-03  -0.102293E-02
  8130   0.667092E-01   0.821912E-03   0.598754E-03  -0.102215E-02
  8131   0.667435E-01   0.821543E-03   0.598547E-03  -0.102131E-02
  8132   0.667902E-01   0.821177E-03   0.598338E-03  -0.102041E-02
  8133   0.668486E-01   0.820813E-03   0.598127E-03  -0.101946E-02
  8134   0.669180E-01   0.820453E-03   0.597915E-03  -0.101845E-02
  8135   0.669975E-01   0.820095E-03   0.597702E-03  -0.101740E-02
  8136   0.670861E-01   0.819739E-03   0.597488E-03  -0.101631E-02
  8137   0.671829E-01   0.819385E-03   0.597272E-03  -0.101518E-02
  8138   0.672865E-01   0.819033E-03   0.597056E-03  -0.101402E-02
  8139   0.673960E-01   0.818682E-03   0.596839E-03  -0.101283E-02
  8140   0.675099E-01   0.818332E-03   0.596622E-03  -0.101162E-02
  8141   0.676271E-01   0.817983E-03   0.596405E-03  -0.101040E-02
  8142   0.677462E-01   0.817634E-03   0.596187E-03  -0.100917E-02
  8143   0.678659E-01   0.817285E-03   0.595969E-03  -0.100794E-02
  8144   0.679848E-01   0.816936E-03   0.595751E-03  -0.100671E-02
  8145   0.681016E-01   0.816586E-03   0.595534E-03  -0.100549E-02
  8146   0.682150E-01   0.816236E-03   0.595318E-03  -0.100428E-02
  8147   0.683237E-01   0.815884E-03   0.595102E-03  -0.100310E-02
  8148   0.684264E-01   0.815531E-03   0.594887E-03  -0.100195E-02
  8149   0.685220E-01   0.815176E-03   0.594673E-03  -0.100083E-02
  8150   0.686094E-01   0.814819E-03   0.594460E-03  -0.999754E-03
  8151   0.686874E-01   0.814460E-03   0.594249E-03  -0.998719E-03
  8152   0.687553E-01   0.814099E-03   0.594039E-03  -0.997732E-03
  8153   0.688120E-01   0.813735E-03   0.593831E-03  -0.996798E-03
  8154   0.688568E-01   0.813368E-03   0.593624E-03  -0.995920E-03
  8155   0.688892E-01   0.812998E-03   0.593420E-03  -0.995100E-03
  8156   0.689085E-01   0.812625E-03   0.593217E-03  -0.994342E-03
  8157   0.689144E-01   0.812249E-03   0.593016E-03  -0.993647E-03
  8158   0.689066E-01   0.811870E-03   0.592817E-03  -0.993017E-03
  8159   0.688850E-01   0.811488E-03   0.592619E-03  -0.992451E-03
  8160   0.688495E-01   0.811103E-03   0.592424E-03  -0.991951E-03
  8161   0.688003E-01   0.810715E-03   0.592231E-03  -0.991516E-03
  8162   0.687375E-01   0.810324E-03   0.592040E-03  -0.991144E-03
  8163   0.686616E-01   0.809930E-03   0.591850E-03  -0.990834E-03
  8164   0.685731E-01   0.809533E-03   0.591663E-03  -0.990584E-03
  8165   0.684726E-01   0.809134E-03   0.591477E-03  -0.990390E-03
  8166   0.683607E-01   0.808733E-03   0.591292E-03  -0.990249E-03
  8167   0.682384E-01   0.808329E-03   0.591109E-03  -0.990158E-03
  8168   0.681065E-01   0.807924E-03   0.590928E-03  -0.990112E-03
  8169   0.679661E-01   0.807517E-03   0.590748E-03  -0.990106E-03
  8170   0.678183E-01   0.807109E-03   0.590569E-03  -0.990136E-03
  8171   0.676643E-01   0.806700E-03   0.590390E-03  -0.990195E-03
  8172   0.675052E-01   0.806290E-03   0.590213E-03  -0.990277E-03
  8173   0.673423E-01   0.805880E-03   0.590036E-03  -0.990378E-03
  8174   0.671770E-01   0.805470E-03   0.589860E-03  -0.990491E-03
  8175   0.670106E-01   0.805060E-03   0.589683E-03  -0.990609E-03
  8176   0.668445E-01   0.804651E-03   0.589507E-03  -0.990727E-03
  8177   0.666799E-01   0.804242E-03   0.589331E-03  -0.990837E-03
  8178   0.665182E-01   0.803835E-03   0.589154E-03  -0.990935E-03
  8179   0.663607E-01   0.803429E-03   0.588977E-03  -0.991014E-03
  8180   0.662086E-01   0.803026E-03   0.588800E-03  -0.991067E-03
  8181   0.660632E-01   0.802624E-03   0.588621E-03  -0.991090E-03
  8182   0.659256E-01   0.802225E-03   0.588442E-03  -0.991076E-03
  8183   0.657969E-01   0.801828E-03   0.588261E-03  -0.991022E-03
  8184   0.656780E-01   0.801434E-03   0.588079E-03  -0.990922E-03
  8185   0.655699E-01   0.801043E-03   0.587896E-03  -0.990773E-03
  8186   0.654733E-01   0.800656E-03   0.587711E-03  -0.990569E-03
  8187   0.653889E-01   0.800271E-03   0.587525E-03  -0.990310E-03
  8188   0.653173E-01   0.799890E-03   0.587337E-03  -0.989991E-03
  8189   0.652590E-01   0.799513E-03   0.587148E-03  -0.989610E-03
  8190   0.652142E-01   0.799139E-03   0.586957E-03  -0.989166E-03
  8191   0.651831E-01   0.798769E-03   0.586764E-03  -0.988659E-03
  8192   0.651659E-01   0.798402E-03   0.586569E-03  -0.988088E-03
  8193   0.651625E-01   0.798039E-03   0.586373E-03  -0.987452E-03
  8194   0.651725E-01   0.797679E-03   0.586174E-03  -0.986754E-03
  8195   0.651959E-01   0.797322E-03   0.585974E-03  -0.985994E-03
  8196   0.652320E-01   0.796969E-03   0.585773E-03  -0.985174E-03
  8197   0.652803E-01   0.796618E-03   0.585570E-03  -0.984298E-03
  8198   0.653403E-01   0.796271E-03   0.585365E-03  -0.983368E-03
  8199   0.654109E-01   0.795926E-03   0.585159E-03  -0.982389E-03
  8200   0.654915E-01   0.795583E-03   0.584952E-03  -0.981363E-03
  8201   0.655809E-01   0.795242E-03   0.584744E-03  -0.980296E-03
  8202   0.656782E-01   0.794904E-03   0.584535E-03  -0.979193E-03
  8203   0.657821E-01   0.794566E-03   0.584324E-03  -0.978059E-03
  8204   0.658916E-01   0.794230E-03   0.584114E-03  -0.976899E-03
  8205   0.660053E-01   0.793895E-03   0.583903E-03  -0.975720E-03
  8206   0.661220E-01   0.793561E-03   0.583691E-03  -0.974526E-03
  8207   0.662404E-01   0.793227E-03   0.583479E-03  -0.973326E-03
  8208   0.663590E-01   0.792892E-03   0.583268E-03  -0.972124E-03
  8209   0.664767E-01   0.792558E-03   0.583056E-03  -0.970927E-03
  8210   0.665920E-01   0.792222E-03   0.582845E-03  -0.969741E-03
  8211   0.667037E-01   0.791886E-03   0.582635E-03  -0.968572E-03
  8212   0.668106E-01   0.791548E-03   0.582425E-03  -0.967426E-03
  8213   0.669113E-01   0.791209E-03   0.582216E-03  -0.966309E-03
  8214   0.670048E-01   0.790868E-03   0.582009E-03  -0.965226E-03
  8215   0.670900E-01   0.790525E-03   0.581802E-03  -0.964181E-03
  8216   0.671658E-01   0.790179E-03   0.581597E-03  -0.963181E-03
  8217   0.672313E-01   0.789831E-03   0.581393E-03  -0.962228E-03
  8218   0.672858E-01   0.789481E-03   0.581191E-03  -0.961328E-03
  8219   0.673285E-01   0.789127E-03   0.580990E-03  -0.960483E-03
  8220   0.673589E-01   0.788771E-03   0.580791E-03  -0.959695E-03
  8221   0.673763E-01   0.788412E-03   0.580594E-03  -0.958969E-03
  8222   0.673805E-01   0.788049E-03   0.580399E-03  -0.958304E-03
  8223   0.673713E-01   0.787684E-03   0.580206E-03  -0.957702E-03
  8224   0.673484E-01   0.787315E-03   0.580015E-03  -0.957164E-03
  8225   0.673120E-01   0.786944E-03   0.579825E-03  -0.956690E-03
  8226   0.672622E-01   0.786569E-03   0.579638E-03  -0.956278E-03
  8227   0.671992E-01   0.786192E-03   0.579452E-03  -0.955929E-03
  8228   0.671235E-01   0.785812E-03   0.579268E-03  -0.955639E-03
  8229   0.670356E-01   0.785429E-03   0.579086E-03  -0.955407E-03
  8230   0.669360E-01   0.785044E-03   0.578905E-03  -0.955229E-03
  8231   0.668256E-01   0.784657E-03   0.578727E-03  -0.955103E-03
  8232   0.667052E-01   0.784268E-03   0.578549E-03  -0.955024E-03
  8233   0.665757E-01   0.783877E-03   0.578373E-03  -0.954988E-03
  8234   0.664381E-01   0.783485E-03   0.578198E-03  -0.954990E-03
  8235   0.662936E-01   0.783091E-03   0.578024E-03  -0.955025E-03
  8236   0.661432E-01   0.782697E-03   0.577851E-03  -0.955088E-03
  8237   0.659883E-01   0.782302E-03   0.577678E-03  -0.955173E-03
  8238   0.658300E-01   0.781907E-03   0.577507E-03  -0.955274E-03
  8239   0.656696E-01   0.781513E-03   0.577335E-03  -0.955386E-03
  8240   0.655085E-01   0.781118E-03   0.577164E-03  -0.955502E-03
  8241   0.653479E-01   0.780724E-03   0.576993E-03  -0.955616E-03
  8242   0.651892E-01   0.780332E-03   0.576821E-03  -0.955723E-03
  8243   0.650335E-01   0.779940E-03   0.576650E-03  -0.955815E-03
  8244   0.648823E-01   0.779551E-03   0.576478E-03  -0.955888E-03
  8245   0.647367E-01   0.779163E-03   0.576305E-03  -0.955936E-03
  8246   0.645978E-01   0.778777E-03   0.576131E-03  -0.955953E-03
  8247   0.644667E-01   0.778394E-03   0.575957E-03  -0.955934E-03
  8248   0.643444E-01   0.778014E-03   0.575781E-03  -0.955875E-03
  8249   0.642319E-01   0.777636E-03   0.575604E-03  -0.955771E-03
  8250   0.641300E-01   0.777262E-03   0.575426E-03  -0.955619E-03
  8251   0.640394E-01   0.776890E-03   0.575247E-03  -0.955414E-03
  8252   0.639608E-01   0.776522E-03   0.575066E-03  -0.955154E-03
