#    L    TT             EE             BB             TE          
   337   0.277360E+04   0.154483E+02   0.288901E-01   0.103281E+03
   338   0.274483E+04   0.156163E+02   0.289877E-01   0.102274E+03
   339   0.271634E+04   0.157830E+02   0.290848E-01   0.101237E+03
   340   0.268813E+04   0.159483E+02   0.291815E-01   0.100168E+03
   341   0.266021E+04   0.161120E+02   0.292777E-01   0.990679E+02
   342   0.263259E+04   0.162742E+02   0.293736E-01   0.979368E+02
   343   0.260526E+04   0.164347E+02   0.294690E-01   0.967761E+02
   344   0.257823E+04   0.165934E+02   0.295641E-01   0.955848E+02
   345   0.255152E+04   0.167503E+02   0.296588E-01   0.943639E+02
   346   0.252511E+04   0.169052E+02   0.297531E-01   0.931132E+02
   347   0.249902E+04   0.170583E+02   0.298472E-01   0.918336E+02
   348   0.247325E+04   0.172092E+02   0.299409E-01   0.905249E+02
   349   0.244781E+04   0.173581E+02   0.300343E-01   0.891896E+02
   350   0.242271E+04   0.175048E+02   0.301275E-01   0.878267E+02
   351   0.239795E+04   0.176494E+02   0.302204E-01   0.864377E+02
   352   0.237356E+04   0.177918E+02   0.303131E-01   0.850235E+02
   353   0.234951E+04   0.179320E+02   0.304056E-01   0.835839E+02
   354   0.232583E+04   0.180698E+02   0.304978E-01   0.821211E+02
   355   0.230253E+04   0.182052E+02   0.305899E-01   0.806344E+02
   356   0.227960E+04   0.183382E+02   0.306818E-01   0.791245E+02
   357   0.225705E+04   0.184687E+02   0.307736E-01   0.775922E+02
   358   0.223488E+04   0.185967E+02   0.308653E-01   0.760380E+02
   359   0.221309E+04   0.187219E+02   0.309569E-01   0.744620E+02
   360   0.219169E+04   0.188444E+02   0.310484E-01   0.728657E+02
   361   0.217068E+04   0.189641E+02   0.311398E-01   0.712480E+02
   362   0.215006E+04   0.190810E+02   0.312312E-01   0.696106E+02
   363   0.212985E+04   0.191949E+02   0.313226E-01   0.679542E+02
   364   0.211003E+04   0.193060E+02   0.314139E-01   0.662794E+02
   365   0.209063E+04   0.194140E+02   0.315053E-01   0.645870E+02
   366   0.207163E+04   0.195189E+02   0.315967E-01   0.628778E+02
   367   0.205304E+04   0.196208E+02   0.316881E-01   0.611524E+02
   368   0.203487E+04   0.197195E+02   0.317796E-01   0.594116E+02
   369   0.201711E+04   0.198151E+02   0.318712E-01   0.576562E+02
   370   0.199977E+04   0.199074E+02   0.319629E-01   0.558868E+02
   371   0.198285E+04   0.199965E+02   0.320547E-01   0.541043E+02
   372   0.196636E+04   0.200822E+02   0.321467E-01   0.523093E+02
   373   0.195029E+04   0.201646E+02   0.322388E-01   0.505025E+02
   374   0.193465E+04   0.202437E+02   0.323311E-01   0.486849E+02
   375   0.191942E+04   0.203194E+02   0.324235E-01   0.468568E+02
   376   0.190463E+04   0.203915E+02   0.325162E-01   0.450193E+02
   377   0.189026E+04   0.204602E+02   0.326091E-01   0.431728E+02
   378   0.187632E+04   0.205253E+02   0.327022E-01   0.413182E+02
   379   0.186281E+04   0.205868E+02   0.327956E-01   0.394562E+02
   380   0.184974E+04   0.206447E+02   0.328892E-01   0.375875E+02
   381   0.183710E+04   0.206989E+02   0.329831E-01   0.357127E+02
   382   0.182488E+04   0.207493E+02   0.330774E-01   0.338327E+02
   383   0.181311E+04   0.207960E+02   0.331719E-01   0.319481E+02
   384   0.180176E+04   0.208390E+02   0.332668E-01   0.300599E+02
   385   0.179083E+04   0.208783E+02   0.333620E-01   0.281688E+02
   386   0.178034E+04   0.209138E+02   0.334576E-01   0.262757E+02
   387   0.177029E+04   0.209456E+02   0.335536E-01   0.243812E+02
   388   0.176065E+04   0.209736E+02   0.336499E-01   0.224863E+02
   389   0.175144E+04   0.209980E+02   0.337467E-01   0.205917E+02
   390   0.174266E+04   0.210185E+02   0.338439E-01   0.186983E+02
   391   0.173430E+04   0.210353E+02   0.339415E-01   0.168067E+02
   392   0.172635E+04   0.210483E+02   0.340396E-01   0.149177E+02
   393   0.171883E+04   0.210576E+02   0.341381E-01   0.130322E+02
   394   0.171173E+04   0.210630E+02   0.342372E-01   0.111507E+02
   395   0.170503E+04   0.210645E+02   0.343367E-01   0.927407E+01
