#    L    TT             EE             BB             TE             PP             TP             EP          
    81   0.209205E+04   0.458592E+00   0.000000E+00  -0.111206E+02   0.106458E-06   0.500935E-03  -0.503821E-06
    82   0.211876E+04   0.472806E+00   0.000000E+00  -0.116701E+02   0.105769E-06   0.493471E-03  -0.496597E-06
    83   0.214570E+04   0.487112E+00   0.000000E+00  -0.122279E+02   0.105082E-06   0.486100E-03  -0.508483E-06
    84   0.217289E+04   0.501502E+00   0.000000E+00  -0.127933E+02   0.104398E-06   0.478866E-03  -0.537442E-06
    85   0.220031E+04   0.515962E+00   0.000000E+00  -0.133659E+02   0.103716E-06   0.471814E-03  -0.581437E-06
    86   0.222796E+04   0.530484E+00   0.000000E+00  -0.139449E+02   0.103038E-06   0.464978E-03  -0.637899E-06
    87   0.225580E+04   0.545055E+00   0.000000E+00  -0.145299E+02   0.102362E-06   0.458353E-03  -0.702111E-06
    88   0.228381E+04   0.559663E+00   0.000000E+00  -0.151206E+02   0.101689E-06   0.451924E-03  -0.768823E-06
    89   0.231202E+04   0.574295E+00   0.000000E+00  -0.157168E+02   0.101020E-06   0.445675E-03  -0.832790E-06
    90   0.234041E+04   0.588934E+00   0.000000E+00  -0.163183E+02   0.100354E-06   0.439590E-03  -0.888771E-06
    91   0.236899E+04   0.603568E+00   0.000000E+00  -0.169247E+02   0.996917E-07   0.433656E-03  -0.932564E-06
    92   0.239777E+04   0.618182E+00   0.000000E+00  -0.175358E+02   0.990327E-07   0.427866E-03  -0.964114E-06
    93   0.242677E+04   0.632763E+00   0.000000E+00  -0.181512E+02   0.983774E-07   0.422216E-03  -0.984400E-06
    94   0.245597E+04   0.647299E+00   0.000000E+00  -0.187706E+02   0.977256E-07   0.416702E-03  -0.994404E-06
    95   0.248538E+04   0.661776E+00   0.000000E+00  -0.193935E+02   0.970775E-07   0.411317E-03  -0.995102E-06
    96   0.251502E+04   0.676179E+00   0.000000E+00  -0.200195E+02   0.964331E-07   0.406057E-03  -0.987472E-06
    97   0.254486E+04   0.690497E+00   0.000000E+00  -0.206481E+02   0.957925E-07   0.400918E-03  -0.972492E-06
    98   0.257492E+04   0.704713E+00   0.000000E+00  -0.212790E+02   0.951556E-07   0.395895E-03  -0.951136E-06
    99   0.260518E+04   0.718815E+00   0.000000E+00  -0.219116E+02   0.945226E-07   0.390983E-03  -0.924381E-06
   100   0.263566E+04   0.732792E+00   0.000000E+00  -0.225454E+02   0.938935E-07   0.386178E-03  -0.893200E-06
   101   0.266634E+04   0.746631E+00   0.000000E+00  -0.231798E+02   0.932683E-07   0.381475E-03  -0.858567E-06
   102   0.269723E+04   0.760309E+00   0.000000E+00  -0.238148E+02   0.926471E-07   0.376869E-03  -0.821457E-06
   103   0.272831E+04   0.773829E+00   0.000000E+00  -0.244493E+02   0.920299E-07   0.372355E-03  -0.782840E-06
   104   0.275958E+04   0.787161E+00   0.000000E+00  -0.250831E+02   0.914168E-07   0.367930E-03  -0.743691E-06
   105   0.279104E+04   0.800298E+00   0.000000E+00  -0.257155E+02   0.908078E-07   0.363587E-03  -0.704979E-06
   106   0.282268E+04   0.813228E+00   0.000000E+00  -0.263460E+02   0.902030E-07   0.359323E-03  -0.667676E-06
   107   0.285448E+04   0.825944E+00   0.000000E+00  -0.269741E+02   0.896024E-07   0.355133E-03  -0.632753E-06
   108   0.288645E+04   0.838424E+00   0.000000E+00  -0.275992E+02   0.890061E-07   0.351011E-03  -0.601179E-06
   109   0.291857E+04   0.850663E+00   0.000000E+00  -0.282206E+02   0.884142E-07   0.346955E-03  -0.573925E-06
   110   0.295085E+04   0.862638E+00   0.000000E+00  -0.288380E+02   0.878267E-07   0.342959E-03  -0.551959E-06
   111   0.298326E+04   0.874343E+00   0.000000E+00  -0.294508E+02   0.872436E-07   0.339018E-03  -0.536012E-06
   112   0.301582E+04   0.885772E+00   0.000000E+00  -0.300582E+02   0.866649E-07   0.335133E-03  -0.525861E-06
   113   0.304851E+04   0.896903E+00   0.000000E+00  -0.306600E+02   0.860907E-07   0.331303E-03  -0.521043E-06
   114   0.308133E+04   0.907722E+00   0.000000E+00  -0.312555E+02   0.855209E-07   0.327528E-03  -0.521098E-06
   115   0.311426E+04   0.918228E+00   0.000000E+00  -0.318442E+02   0.849555E-07   0.323808E-03  -0.525564E-06
   116   0.314731E+04   0.928408E+00   0.000000E+00  -0.324256E+02   0.843945E-07   0.320142E-03  -0.533981E-06
   117   0.318048E+04   0.938239E+00   0.000000E+00  -0.329991E+02   0.838378E-07   0.316532E-03  -0.545888E-06
   118   0.321373E+04   0.947724E+00   0.000000E+00  -0.335642E+02   0.832855E-07   0.312976E-03  -0.560825E-06
   119   0.324708E+04   0.956846E+00   0.000000E+00  -0.341203E+02   0.827376E-07   0.309474E-03  -0.578332E-06
   120   0.328051E+04   0.965599E+00   0.000000E+00  -0.346670E+02   0.821940E-07   0.306027E-03  -0.597948E-06
   121   0.331402E+04   0.973969E+00   0.000000E+00  -0.352037E+02   0.816547E-07   0.302635E-03  -0.619215E-06
   122   0.334759E+04   0.981948E+00   0.000000E+00  -0.357298E+02   0.811198E-07   0.299297E-03  -0.641674E-06
   123   0.338122E+04   0.989531E+00   0.000000E+00  -0.362450E+02   0.805892E-07   0.296012E-03  -0.664864E-06
   124   0.341491E+04   0.996702E+00   0.000000E+00  -0.367485E+02   0.800629E-07   0.292782E-03  -0.688326E-06
   125   0.344863E+04   0.100346E+01   0.000000E+00  -0.372400E+02   0.795409E-07   0.289606E-03  -0.711603E-06
   126   0.348240E+04   0.100980E+01   0.000000E+00  -0.377190E+02   0.790232E-07   0.286484E-03  -0.734235E-06
   127   0.351618E+04   0.101571E+01   0.000000E+00  -0.381848E+02   0.785098E-07   0.283416E-03  -0.755763E-06
   128   0.354998E+04   0.102118E+01   0.000000E+00  -0.386371E+02   0.780007E-07   0.280402E-03  -0.775730E-06
   129   0.358379E+04   0.102621E+01   0.000000E+00  -0.390754E+02   0.774958E-07   0.277441E-03  -0.793677E-06
