#    L    TT             EE             BB             TE             PP             TP             EP          
    71   0.183851E+04   0.323977E+00   0.000000E+00  -0.617528E+01   0.113375E-06   0.580993E-03  -0.561718E-06
    72   0.186262E+04   0.336667E+00   0.000000E+00  -0.661963E+01   0.112681E-06   0.571888E-03  -0.631565E-06
    73   0.188706E+04   0.349561E+00   0.000000E+00  -0.707591E+01   0.111986E-06   0.563198E-03  -0.695837E-06
    74   0.191185E+04   0.362646E+00   0.000000E+00  -0.754434E+01   0.111291E-06   0.554845E-03  -0.743167E-06
    75   0.193700E+04   0.375913E+00   0.000000E+00  -0.802478E+01   0.110596E-06   0.546750E-03  -0.762199E-06
    76   0.196244E+04   0.389346E+00   0.000000E+00  -0.851696E+01   0.109900E-06   0.538843E-03  -0.745582E-06
    77   0.198806E+04   0.402937E+00   0.000000E+00  -0.901945E+01   0.109205E-06   0.531083E-03  -0.701929E-06
    78   0.201384E+04   0.416674E+00   0.000000E+00  -0.953177E+01   0.108510E-06   0.523435E-03  -0.643834E-06
    79   0.203982E+04   0.430546E+00   0.000000E+00  -0.100537E+02   0.107816E-06   0.515863E-03  -0.583876E-06
    80   0.206603E+04   0.444542E+00   0.000000E+00  -0.105853E+02   0.107124E-06   0.508334E-03  -0.534625E-06
    81   0.209249E+04   0.458653E+00   0.000000E+00  -0.111263E+02   0.106433E-06   0.500825E-03  -0.506202E-06
    82   0.211921E+04   0.472867E+00   0.000000E+00  -0.116759E+02   0.105744E-06   0.493367E-03  -0.498986E-06
    83   0.214616E+04   0.487175E+00   0.000000E+00  -0.122339E+02   0.105057E-06   0.486004E-03  -0.510921E-06
    84   0.217336E+04   0.501565E+00   0.000000E+00  -0.127994E+02   0.104372E-06   0.478778E-03  -0.539954E-06
    85   0.220079E+04   0.516026E+00   0.000000E+00  -0.133721E+02   0.103690E-06   0.471734E-03  -0.584035E-06
    86   0.222845E+04   0.530549E+00   0.000000E+00  -0.139512E+02   0.103011E-06   0.464904E-03  -0.640582E-06
    87   0.225630E+04   0.545121E+00   0.000000E+00  -0.145364E+02   0.102335E-06   0.458282E-03  -0.704878E-06
    88   0.228433E+04   0.559730E+00   0.000000E+00  -0.151272E+02   0.101662E-06   0.451855E-03  -0.771676E-06
    89   0.231254E+04   0.574363E+00   0.000000E+00  -0.157235E+02   0.100993E-06   0.445607E-03  -0.835733E-06
    90   0.234094E+04   0.589003E+00   0.000000E+00  -0.163251E+02   0.100327E-06   0.439524E-03  -0.891809E-06
    91   0.236954E+04   0.603637E+00   0.000000E+00  -0.169316E+02   0.996639E-07   0.433590E-03  -0.935705E-06
    92   0.239833E+04   0.618252E+00   0.000000E+00  -0.175429E+02   0.990047E-07   0.427801E-03  -0.967365E-06
    93   0.242733E+04   0.632833E+00   0.000000E+00  -0.181583E+02   0.983491E-07   0.422152E-03  -0.987767E-06
    94   0.245654E+04   0.647369E+00   0.000000E+00  -0.187778E+02   0.976972E-07   0.416637E-03  -0.997889E-06
    95   0.248597E+04   0.661846E+00   0.000000E+00  -0.194009E+02   0.970489E-07   0.411252E-03  -0.998708E-06
    96   0.251561E+04   0.676249E+00   0.000000E+00  -0.200269E+02   0.964044E-07   0.405992E-03  -0.991200E-06
    97   0.254546E+04   0.690567E+00   0.000000E+00  -0.206557E+02   0.957636E-07   0.400854E-03  -0.976340E-06
    98   0.257553E+04   0.704783E+00   0.000000E+00  -0.212867E+02   0.951266E-07   0.395831E-03  -0.955102E-06
    99   0.260581E+04   0.718885E+00   0.000000E+00  -0.219193E+02   0.944934E-07   0.390919E-03  -0.928459E-06
