#    L    TT             EE             BB             TE             PP             TP             EP          
   153   0.437725E+04   0.100970E+01   0.000000E+00  -0.442106E+02   0.665921E-07   0.219152E-03  -0.733219E-06
   154   0.440846E+04   0.100359E+01   0.000000E+00  -0.441567E+02   0.661850E-07   0.217089E-03  -0.728170E-06
   155   0.443944E+04   0.997097E+00   0.000000E+00  -0.440784E+02   0.657814E-07   0.215047E-03  -0.723659E-06
   156   0.447020E+04   0.990253E+00   0.000000E+00  -0.439758E+02   0.653813E-07   0.213026E-03  -0.719623E-06
   157   0.450073E+04   0.983054E+00   0.000000E+00  -0.438484E+02   0.649847E-07   0.211026E-03  -0.716001E-06
   158   0.453102E+04   0.975528E+00   0.000000E+00  -0.436960E+02   0.645916E-07   0.209047E-03  -0.712729E-06
   159   0.456106E+04   0.967674E+00   0.000000E+00  -0.435185E+02   0.642018E-07   0.207089E-03  -0.709746E-06
   160   0.459084E+04   0.959516E+00   0.000000E+00  -0.433157E+02   0.638155E-07   0.205153E-03  -0.706990E-06
   161   0.462034E+04   0.951066E+00   0.000000E+00  -0.430874E+02   0.634325E-07   0.203239E-03  -0.704398E-06
   162   0.464956E+04   0.942340E+00   0.000000E+00  -0.428334E+02   0.630529E-07   0.201345E-03  -0.701908E-06
   163   0.467848E+04   0.933367E+00   0.000000E+00  -0.425534E+02   0.626765E-07   0.199474E-03  -0.699459E-06
   164   0.470709E+04   0.924146E+00   0.000000E+00  -0.422475E+02   0.623035E-07   0.197624E-03  -0.696988E-06
   165   0.473538E+04   0.914699E+00   0.000000E+00  -0.419152E+02   0.619337E-07   0.195795E-03  -0.694432E-06
   166   0.476334E+04   0.905048E+00   0.000000E+00  -0.415567E+02   0.615672E-07   0.193988E-03  -0.691731E-06
   167   0.479096E+04   0.895214E+00   0.000000E+00  -0.411716E+02   0.612039E-07   0.192204E-03  -0.688821E-06
   168   0.481824E+04   0.885221E+00   0.000000E+00  -0.407602E+02   0.608437E-07   0.190441E-03  -0.685642E-06
   169   0.484516E+04   0.875088E+00   0.000000E+00  -0.403223E+02   0.604868E-07   0.188700E-03  -0.682130E-06
   170   0.487171E+04   0.864832E+00   0.000000E+00  -0.398577E+02   0.601329E-07   0.186981E-03  -0.678224E-06
   171   0.489789E+04   0.854480E+00   0.000000E+00  -0.393666E+02   0.597822E-07   0.185284E-03  -0.673862E-06
   172   0.492371E+04   0.844056E+00   0.000000E+00  -0.388487E+02   0.594346E-07   0.183609E-03  -0.668982E-06
   173   0.494913E+04   0.833580E+00   0.000000E+00  -0.383042E+02   0.590900E-07   0.181956E-03  -0.663521E-06
   174   0.497415E+04   0.823074E+00   0.000000E+00  -0.377330E+02   0.587484E-07   0.180326E-03  -0.657418E-06
   175   0.499877E+04   0.812576E+00   0.000000E+00  -0.371353E+02   0.584099E-07   0.178718E-03  -0.650611E-06
   176   0.502297E+04   0.802100E+00   0.000000E+00  -0.365110E+02   0.580744E-07   0.177132E-03  -0.643055E-06
   177   0.504676E+04   0.791680E+00   0.000000E+00  -0.358601E+02   0.577417E-07   0.175569E-03  -0.634766E-06
   178   0.507011E+04   0.781340E+00   0.000000E+00  -0.351826E+02   0.574121E-07   0.174026E-03  -0.625779E-06
   179   0.509302E+04   0.771099E+00   0.000000E+00  -0.344787E+02   0.570853E-07   0.172505E-03  -0.616130E-06
   180   0.511550E+04   0.760993E+00   0.000000E+00  -0.337484E+02   0.567614E-07   0.171003E-03  -0.605850E-06
   181   0.513752E+04   0.751051E+00   0.000000E+00  -0.329919E+02   0.564403E-07   0.169522E-03  -0.594976E-06
   182   0.515908E+04   0.741302E+00   0.000000E+00  -0.322092E+02   0.561220E-07   0.168060E-03  -0.583541E-06
   183   0.518018E+04   0.731766E+00   0.000000E+00  -0.314006E+02   0.558065E-07   0.166616E-03  -0.571578E-06
   184   0.520081E+04   0.722479E+00   0.000000E+00  -0.305662E+02   0.554938E-07   0.165191E-03  -0.559124E-06
   185   0.522096E+04   0.713478E+00   0.000000E+00  -0.297060E+02   0.551837E-07   0.163784E-03  -0.546210E-06
   186   0.524063E+04   0.704783E+00   0.000000E+00  -0.288203E+02   0.548764E-07   0.162394E-03  -0.532872E-06
